date,open,close,high,low,volume,amount
2020-10-21,6426.1940,6350.0127,6426.5095,6323.4406,8751225500,102120928452.3000
2020-10-22,6331.8037,6317.1438,6334.5424,6256.2324,8572472900,96745752080.7000
2020-10-23,6312.0076,6213.2626,6362.4283,6202.5347,8056509000,93954361163.2000
2020-10-26,6195.3539,6214.3779,6239.7156,6127.3829,7339295600,85255066150.9000
2020-10-27,6187.4731,6221.3414,6227.8424,6168.9710,7558651600,89315873362.5000
2020-10-28,6221.7402,6245.9986,6254.7160,6164.2406,8713088800,104079228635.0000
2020-10-29,6168.9076,6255.1933,6287.6478,6159.1435,9258748300,109761286278.0000
2020-10-30,6272.9273,6111.4803,6274.6162,6103.8909,11212236000,126461002490.3000
2020-11-02,6119.4514,6143.1157,6162.2763,6095.8038,11175637900,123794413318.8000
2020-11-03,6175.1593,6241.7676,6245.5576,6155.7346,10544003600,115863061000.7000
2020-11-04,6246.6368,6234.1580,6256.0695,6181.0972,9292974500,108226613294.5000
2020-11-05,6294.6136,6351.9789,6358.4445,6273.3148,11884321500,132602148329.0000
2020-11-06,6366.1854,6301.2477,6366.1854,6254.0869,11824421100,131702113343.4000
2020-11-09,6337.4415,6421.6506,6452.9139,6337.4415,16002788200,175071789214.3000
2020-11-10,6434.4298,6373.0853,6435.4130,6339.2861,14192893200,155931471262.0000
2020-11-11,6356.3666,6294.6055,6375.2402,6292.8368,13072808100,134439037098.4000
2020-11-12,6305.0655,6315.4938,6340.9983,6285.2907,10468068700,113184124161.7000
2020-11-13,6304.4593,6306.9700,6319.4126,6248.3550,10711632200,112943607786.7000
2020-11-16,6319.7042,6387.3710,6387.4154,6294.2899,13367733000,131781935048.7000
2020-11-17,6380.7685,6336.9406,6380.7685,6300.5666,14127431800,138972383424.0000
2020-11-18,6333.4506,6341.0136,6382.4966,6314.3093,13398246200,129795857711.1000
2020-11-19,6328.0837,6360.5998,6370.1805,6293.5553,12380484500,121059609478.7000
2020-11-20,6354.7873,6422.9854,6429.8695,6351.3079,13066764500,128065402931.0000
2020-11-23,6435.9187,6472.9301,6516.2407,6407.0565,18192566800,170218076144.5000
2020-11-24,6472.7468,6475.1881,6495.1373,6454.6653,15406296500,148759535147.5000
2020-11-25,6489.2553,6350.3667,6489.7220,6350.3667,15381310600,156624909521.8000
2020-11-26,6349.8616,6334.3042,6358.1740,6284.9727,12323693600,125528466079.5000
2020-11-27,6337.3839,6351.6119,6351.8103,6276.0729,12088511600,117407959618.1000
2020-11-30,6360.4620,6320.9441,6397.7204,6309.4445,16315768200,157517649561.1000
2020-12-01,6307.8544,6426.6155,6437.9433,6299.4140,15095734000,152562838800.9000
2020-12-02,6437.9561,6434.9791,6446.8066,6392.9892,14970510500,150490962737.2000
2020-12-03,6437.3843,6440.8808,6461.0881,6392.8987,15221493300,152891750850.0000
2020-12-04,6426.0263,6464.7345,6471.8561,6409.6779,12885516900,135320890716.0000
2020-12-07,6465.9879,6424.6823,6472.8495,6417.6481,12107828200,130847019898.5000
